CL	CL_plane	Name_identical	Related	Merged	Naked_merged
MKN74_GDC	MKN74	MKN74_CCLE,MKN-74_EGA,MKN74_GDC	MKN28_COSMIC	MKN28_COSMIC,MKN74_CCLE,MKN-74_EGA,MKN74_GDC	MKN28,MKN74
MKN7_CCLE	MKN7	MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC		MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC	MKN7
MKN7_COSMIC	MKN7	MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC		MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC	MKN7
MKN-7_EGA	MKN7	MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC		MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC	MKN7
MKN7_GDC	MKN7	MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC		MKN7_CCLE,MKN7_COSMIC,MKN-7_EGA,MKN7_GDC	MKN7
ML1_CCLE	ML1	ML1_CCLE,ML-1_COSMIC,ML-1_GDC		ML1_CCLE,ML-1_COSMIC,ML-1_GDC	ML1
ML-1_COSMIC	ML1	ML1_CCLE,ML-1_COSMIC,ML-1_GDC		ML1_CCLE,ML-1_COSMIC,ML-1_GDC	ML1
ML-1_GDC	ML1	ML1_CCLE,ML-1_COSMIC,ML-1_GDC		ML1_CCLE,ML-1_COSMIC,ML-1_GDC	ML1
ML-2_COSMIC	ML2	ML-2_COSMIC,ML-2_EGA		ML-2_COSMIC,ML-2_EGA	ML2
ML-2_EGA	ML2	ML-2_COSMIC,ML-2_EGA		ML-2_COSMIC,ML-2_EGA	ML2
MLMA_COSMIC	MLMA	MLMA_COSMIC		MLMA_COSMIC	MLMA
MM1S_CCLE	MM1S	MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC		MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC	MM1S
MM1S_COSMIC	MM1S	MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC		MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC	MM1S
MM1S_EGA	MM1S	MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC		MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC	MM1S
MM1-S_GDC	MM1S	MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC		MM1S_CCLE,MM1S_COSMIC,MM1S_EGA,MM1-S_GDC	MM1S
MMAC-SF_COSMIC	MMACSF	MMAC-SF_COSMIC		MMAC-SF_COSMIC	MMACSF
MN-60_COSMIC	MN60	MN-60_COSMIC		MN-60_COSMIC	MN60
