CL	CL_plane	Name_identical	Related	Merged	Naked_merged
105KC_EGA	105KC	105KC_EGA		105KC_EGA	105KC
143B_EGA	143B	143B_EGA	HOS_CCLE,HOS_COSMIC,HOS_GDC	143B_EGA,HOS_CCLE,HOS_COSMIC,HOS_GDC	143B,HOS
201T_COSMIC	201T	201T_COSMIC		201T_COSMIC	201T
22RV1_CCLE	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
22RV1_COSMIC	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
22Rv1_GDC	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
2313287_CCLE	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132-87_COSMIC	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132_87_EGA	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132_87_GDC	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
253JBV_CCLE	253JBV	253JBV_CCLE,253J-BV_GDC	253J_CCLE,253J_GDC	253JBV_CCLE,253J-BV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J-BV_GDC	253JBV	253JBV_CCLE,253J-BV_GDC	253J_CCLE,253J_GDC	253JBV_CCLE,253J-BV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J_CCLE	253J	253J_CCLE,253J_GDC	253JBV_CCLE,253JBV_GDC	253JBV_CCLE,253JBV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J_GDC	253J	253J_CCLE,253J_GDC	253JBV_CCLE,253JBV_GDC	253JBV_CCLE,253JBV_GDC,253J_CCLE,253J_GDC	253JBV,253J
42MGBA_CCLE	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
42-MG-BA_COSMIC	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
42-MG-BA_GDC	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
451LU_COSMIC	451LU	451LU_COSMIC		451LU_COSMIC	451LU
501A_EGA	501A	501A_EGA		501A_EGA	501A
537_MEL_EGA	537MEL	537_MEL_EGA		537_MEL_EGA	537MEL
5637_CCLE	5637	5637_CCLE,5637_COSMIC,5637_GDC		5637_CCLE,5637_COSMIC,5637_GDC	5637
5637_COSMIC	5637	5637_CCLE,5637_COSMIC,5637_GDC		5637_CCLE,5637_COSMIC,5637_GDC	5637
5637_GDC	5637	5637_CCLE,5637_COSMIC,5637_GDC		5637_CCLE,5637_COSMIC,5637_GDC	5637
59M_CCLE	59M	59M_CCLE,59M_EGA,59M_GDC		59M_CCLE,59M_EGA,59M_GDC	59M
59M_EGA	59M	59M_CCLE,59M_EGA,59M_GDC		59M_CCLE,59M_EGA,59M_GDC	59M
59M_GDC	59M	59M_CCLE,59M_EGA,59M_GDC		59M_CCLE,59M_EGA,59M_GDC	59M
624_MEL_EGA	624MEL	624_MEL_EGA		624_MEL_EGA	624MEL
639V_CCLE	639V	639V_CCLE,639-V_COSMIC,639-V_GDC		639V_CCLE,639-V_COSMIC,639-V_GDC	639V
639-V_COSMIC	639V	639V_CCLE,639-V_COSMIC,639-V_GDC		639V_CCLE,639-V_COSMIC,639-V_GDC	639V
639-V_GDC	639V	639V_CCLE,639-V_COSMIC,639-V_GDC		639V_CCLE,639-V_COSMIC,639-V_GDC	639V
647V_CCLE	647V	647V_CCLE,647-V_COSMIC,647-V_GDC		647V_CCLE,647-V_COSMIC,647-V_GDC	647V
647-V_COSMIC	647V	647V_CCLE,647-V_COSMIC,647-V_GDC		647V_CCLE,647-V_COSMIC,647-V_GDC	647V
647-V_GDC	647V	647V_CCLE,647-V_COSMIC,647-V_GDC		647V_CCLE,647-V_COSMIC,647-V_GDC	647V
697_CCLE	697	697_CCLE,697_COSMIC,697_GDC		697_CCLE,697_COSMIC,697_GDC	697
697_COSMIC	697	697_CCLE,697_COSMIC,697_GDC		697_CCLE,697_COSMIC,697_GDC	697
697_GDC	697	697_CCLE,697_COSMIC,697_GDC		697_CCLE,697_COSMIC,697_GDC	697
769P_CCLE	769P	769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC		769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC	769P
769-P_COSMIC	769P	769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC		769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC	769P
769-P_EGA	769P	769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC		769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC	769P
769-P_GDC	769P	769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC		769P_CCLE,769-P_COSMIC,769-P_EGA,769-P_GDC	769P
786_0_CELLMINER	7860	786_0_CELLMINER,786-0_COSMIC	786O_CCLE,786O_EGA,786O_GDC	786_0_CELLMINER,786-0_COSMIC,786O_CCLE,786O_EGA,786O_GDC	7860,786O
786-0_COSMIC	7860	786_0_CELLMINER,786-0_COSMIC	786O_CCLE,786O_EGA,786O_GDC	786_0_CELLMINER,786-0_COSMIC,786O_CCLE,786O_EGA,786O_GDC	7860,786O
786O_CCLE	786O	786O_CCLE,786-O_EGA,786-O_GDC	7860_CELLMINER,7860_COSMIC	7860_CELLMINER,7860_COSMIC,786O_CCLE,786-O_EGA,786-O_GDC	7860,786O
786-O_EGA	786O	786O_CCLE,786-O_EGA,786-O_GDC	7860_CELLMINER,7860_COSMIC	7860_CELLMINER,7860_COSMIC,786O_CCLE,786-O_EGA,786-O_GDC	7860,786O
786-O_GDC	786O	786O_CCLE,786-O_EGA,786-O_GDC	7860_CELLMINER,7860_COSMIC	7860_CELLMINER,7860_COSMIC,786O_CCLE,786-O_EGA,786-O_GDC	7860,786O
8305C_CCLE	8305C	8305C_CCLE,8305C_COSMIC,8305C_GDC		8305C_CCLE,8305C_COSMIC,8305C_GDC	8305C
8305C_COSMIC	8305C	8305C_CCLE,8305C_COSMIC,8305C_GDC		8305C_CCLE,8305C_COSMIC,8305C_GDC	8305C
8305C_GDC	8305C	8305C_CCLE,8305C_COSMIC,8305C_GDC		8305C_CCLE,8305C_COSMIC,8305C_GDC	8305C
8505C_CCLE	8505C	8505C_CCLE,8505C_COSMIC,8505C_GDC		8505C_CCLE,8505C_COSMIC,8505C_GDC	8505C
8505C_COSMIC	8505C	8505C_CCLE,8505C_COSMIC,8505C_GDC		8505C_CCLE,8505C_COSMIC,8505C_GDC	8505C
8505C_GDC	8505C	8505C_CCLE,8505C_COSMIC,8505C_GDC		8505C_CCLE,8505C_COSMIC,8505C_GDC	8505C
888_EGA	888	888_EGA		888_EGA	888
8MGBA_CCLE	8MGBA	8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC		8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC	8MGBA
8-MG-BA_COSMIC	8MGBA	8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC		8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC	8MGBA
8-MG-BA_GDC	8MGBA	8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC		8MGBA_CCLE,8-MG-BA_COSMIC,8-MG-BA_GDC	8MGBA
928_MEL_EGA	928MEL	928_MEL_EGA		928_MEL_EGA	928MEL
A101D_CCLE	A101D	A101D_CCLE,A101D_COSMIC,A101D_GDC	HS294T_EGA,HS294T_GDC	A101D_CCLE,A101D_COSMIC,A101D_GDC,HS294T_EGA,HS294T_GDC	A101D,HS294T
A101D_COSMIC	A101D	A101D_CCLE,A101D_COSMIC,A101D_GDC	HS294T_EGA,HS294T_GDC	A101D_CCLE,A101D_COSMIC,A101D_GDC,HS294T_EGA,HS294T_GDC	A101D,HS294T
A101D_GDC	A101D	A101D_CCLE,A101D_COSMIC,A101D_GDC	HS294T_EGA,HS294T_GDC	A101D_CCLE,A101D_COSMIC,A101D_GDC,HS294T_EGA,HS294T_GDC	A101D,HS294T
A172_CCLE	A172	A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC		A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC	A172
A172_COSMIC	A172	A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC		A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC	A172
A172_EGA	A172	A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC		A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC	A172
A172_GDC	A172	A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC		A172_CCLE,A172_COSMIC,A172_EGA,A172_GDC	A172
A204_CCLE	A204	A204_CCLE,A204_COSMIC,A-204_GDC		A204_CCLE,A204_COSMIC,A-204_GDC	A204
A204_COSMIC	A204	A204_CCLE,A204_COSMIC,A-204_GDC		A204_CCLE,A204_COSMIC,A-204_GDC	A204
A-204_GDC	A204	A204_CCLE,A204_COSMIC,A-204_GDC		A204_CCLE,A204_COSMIC,A-204_GDC	A204
A2058_CCLE	A2058	A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC		A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC	A2058
A2058_COSMIC	A2058	A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC		A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC	A2058
A2058_EGA	A2058	A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC		A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC	A2058
A2058_GDC	A2058	A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC		A2058_CCLE,A2058_COSMIC,A2058_EGA,A2058_GDC	A2058
A253_CCLE	A253	A253_CCLE,A253_COSMIC,A-253_GDC		A253_CCLE,A253_COSMIC,A-253_GDC	A253
A253_COSMIC	A253	A253_CCLE,A253_COSMIC,A-253_GDC		A253_CCLE,A253_COSMIC,A-253_GDC	A253
A-253_GDC	A253	A253_CCLE,A253_COSMIC,A-253_GDC		A253_CCLE,A253_COSMIC,A-253_GDC	A253
A2780_CCLE	A2780	A2780_CCLE,A2780_COSMIC,A2780_EGA		A2780_CCLE,A2780_COSMIC,A2780_EGA	A2780
A2780_COSMIC	A2780	A2780_CCLE,A2780_COSMIC,A2780_EGA		A2780_CCLE,A2780_COSMIC,A2780_EGA	A2780
A2780_EGA	A2780	A2780_CCLE,A2780_COSMIC,A2780_EGA		A2780_CCLE,A2780_COSMIC,A2780_EGA	A2780
A375_CCLE	A375	A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC		A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC	A375
A375_COSMIC	A375	A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC		A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC	A375
A-375_EGA	A375	A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC		A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC	A375
A-375_GDC	A375	A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC		A375_CCLE,A375_COSMIC,A-375_EGA,A-375_GDC	A375
A388_COSMIC	A388	A388_COSMIC		A388_COSMIC	A388
A3KAW_CCLE	A3KAW	A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC		A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC	A3KAW
A3-KAW_COSMIC	A3KAW	A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC		A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC	A3KAW
A3_KAW_EGA	A3KAW	A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC		A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC	A3KAW
A3_KAW_GDC	A3KAW	A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC		A3KAW_CCLE,A3-KAW_COSMIC,A3_KAW_EGA,A3_KAW_GDC	A3KAW
A427_COSMIC	A427	A427_COSMIC,A-427_EGA		A427_COSMIC,A-427_EGA	A427
A-427_EGA	A427	A427_COSMIC,A-427_EGA		A427_COSMIC,A-427_EGA	A427
A431_COSMIC	A431	A431_COSMIC,A-431_EGA		A431_COSMIC,A-431_EGA	A431
A-431_EGA	A431	A431_COSMIC,A-431_EGA		A431_COSMIC,A-431_EGA	A431
A498_CCLE	A498	A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC		A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC	A498
A498_CELLMINER	A498	A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC		A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC	A498
A498_COSMIC	A498	A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC		A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC	A498
A-498_EGA	A498	A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC		A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC	A498
A-498_GDC	A498	A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC		A498_CCLE,A498_CELLMINER,A498_COSMIC,A-498_EGA,A-498_GDC	A498
A4FUK_CCLE	A4FUK	A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC		A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC	A4FUK,A4F
A4-FUK_COSMIC	A4FUK	A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC		A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC	A4FUK,A4F
A4_FUK_EGA	A4FUK	A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC		A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC	A4FUK,A4F
A4_Fuk_GDC	A4FUK	A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC		A4FUK_CCLE,A4-FUK_COSMIC,A4_FUK_EGA,A4_Fuk_GDC	A4FUK,A4F
A549_CCLE	A549	A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC		A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC	A549
A549_CELLMINER	A549	A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC		A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC	A549
A549_COSMIC	A549	A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC		A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC	A549
A549_EGA	A549	A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC		A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC	A549
A549_GDC	A549	A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC		A549_CCLE,A549_CELLMINER,A549_COSMIC,A549_EGA,A549_GDC	A549
A673_CCLE	A673	A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC		A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC	A673
A673_COSMIC	A673	A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC		A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC	A673
A-673_EGA	A673	A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC		A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC	A673
A-673_GDC	A673	A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC		A673_CCLE,A673_COSMIC,A-673_EGA,A-673_GDC	A673
A704_CCLE	A704	A704_CCLE,A704_COSMIC,A-704_GDC		A704_CCLE,A704_COSMIC,A-704_GDC	A704
A704_COSMIC	A704	A704_CCLE,A704_COSMIC,A-704_GDC		A704_CCLE,A704_COSMIC,A-704_GDC	A704
A-704_GDC	A704	A704_CCLE,A704_COSMIC,A-704_GDC		A704_CCLE,A704_COSMIC,A-704_GDC	A704
ABC1_CCLE	ABC1	ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC		ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC	ABC1
ABC-1_COSMIC	ABC1	ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC		ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC	ABC1
ABC-1_EGA	ABC1	ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC		ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC	ABC1
ABC-1_GDC	ABC1	ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC		ABC1_CCLE,ABC-1_COSMIC,ABC-1_EGA,ABC-1_GDC	ABC1
ACCMESO1_CCLE	ACCMESO1	ACCMESO1_CCLE,ACC-MESO-1_GDC		ACCMESO1_CCLE,ACC-MESO-1_GDC	ACCMESO1
ACC-MESO-1_GDC	ACCMESO1	ACCMESO1_CCLE,ACC-MESO-1_GDC		ACCMESO1_CCLE,ACC-MESO-1_GDC	ACCMESO1
ACCS_CCLE	ACCS	ACCS_CCLE	T24_COSMIC,T24_GDC	ACCS_CCLE,T24_COSMIC,T24_GDC	ACCS,T24
ACHN_CCLE	ACHN	ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC		ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC	ACHN
ACHN_CELLMINER	ACHN	ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC		ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC	ACHN
ACHN_COSMIC	ACHN	ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC		ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC	ACHN
ACHN_EGA	ACHN	ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC		ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC	ACHN
ACHN_GDC	ACHN	ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC		ACHN_CCLE,ACHN_CELLMINER,ACHN_COSMIC,ACHN_EGA,ACHN_GDC	ACHN
ACN_COSMIC	ACN	ACN_COSMIC		ACN_COSMIC	ACN
AGS_CCLE	AGS	AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC		AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC	AGS
AGS_COSMIC	AGS	AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC		AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC	AGS
AGS_EGA	AGS	AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC		AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC	AGS
AGS_GDC	AGS	AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC		AGS_CCLE,AGS_COSMIC,AGS_EGA,AGS_GDC	AGS
ALEXANDERCELLS_CCLE	ALEXANDERCELLS	ALEXANDERCELLS_CCLE		ALEXANDERCELLS_CCLE	ALEXANDERCELLS
ALL-PO_COSMIC	ALLPO	ALL-PO_COSMIC		ALL-PO_COSMIC	ALLPO
ALLSIL_CCLE	ALLSIL	ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC		ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC	ALLSIL
ALL-SIL_COSMIC	ALLSIL	ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC		ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC	ALLSIL
ALL-SIL_GDC	ALLSIL	ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC		ALLSIL_CCLE,ALL-SIL_COSMIC,ALL-SIL_GDC	ALLSIL
AM38_CCLE	AM38	AM38_CCLE,AM-38_COSMIC,AM-38_GDC		AM38_CCLE,AM-38_COSMIC,AM-38_GDC	AM38
AM-38_COSMIC	AM38	AM38_CCLE,AM-38_COSMIC,AM-38_GDC		AM38_CCLE,AM-38_COSMIC,AM-38_GDC	AM38
AM-38_GDC	AM38	AM38_CCLE,AM-38_COSMIC,AM-38_GDC		AM38_CCLE,AM-38_COSMIC,AM-38_GDC	AM38
AML193_CCLE	AML193	AML193_CCLE,AML-193_GDC		AML193_CCLE,AML-193_GDC	AML193
AML-193_GDC	AML193	AML193_CCLE,AML-193_GDC		AML193_CCLE,AML-193_GDC	AML193
AMO1_CCLE	AMO1	AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC		AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC	AMO1
AMO-1_COSMIC	AMO1	AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC		AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC	AMO1
AMO-1_EGA	AMO1	AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC		AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC	AMO1
AMO-1_GDC	AMO1	AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC		AMO1_CCLE,AMO-1_COSMIC,AMO-1_EGA,AMO-1_GDC	AMO1
AN3CA_CCLE	AN3CA	AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC		AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC	AN3CA
AN3-CA_COSMIC	AN3CA	AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC		AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC	AN3CA
AN3_CA_EGA	AN3CA	AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC		AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC	AN3CA
AN3_CA_GDC	AN3CA	AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC		AN3CA_CCLE,AN3-CA_COSMIC,AN3_CA_EGA,AN3_CA_GDC	AN3CA
ARH-77_COSMIC	ARH77	ARH-77_COSMIC		ARH-77_COSMIC	ARH77
ASH-3_COSMIC	ASH3	ASH-3_COSMIC		ASH-3_COSMIC	ASH3
ASPC1_CCLE	ASPC1	ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC		ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC	ASPC1,APC1
ASPC-1_COSMIC	ASPC1	ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC		ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC	ASPC1,APC1
ASPC-1_EGA	ASPC1	ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC		ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC	ASPC1,APC1
AsPC-1_GDC	ASPC1	ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC		ASPC1_CCLE,ASPC-1_COSMIC,ASPC-1_EGA,AsPC-1_GDC	ASPC1,APC1
ATN-1_COSMIC	ATN1	ATN-1_COSMIC		ATN-1_COSMIC	ATN1
ATRFLOX_EGA	ATRFLOX	ATRFLOX_EGA	HCT116_CCLE,HCT116_CELLMINER,HCT116_COSMIC,HCT116_EGA,HCT116_GDC	ATRFLOX_EGA,HCT116_CCLE,HCT116_CELLMINER,HCT116_COSMIC,HCT116_EGA,HCT116_GDC	ATRFLOX,HCT116
AU565_CCLE	AU565	AU565_CCLE,AU565_COSMIC,AU565_GDC	SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565_CCLE,AU565_COSMIC,AU565_GDC,SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565,SKBR3
AU565_COSMIC	AU565	AU565_CCLE,AU565_COSMIC,AU565_GDC	SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565_CCLE,AU565_COSMIC,AU565_GDC,SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565,SKBR3
AU565_GDC	AU565	AU565_CCLE,AU565_COSMIC,AU565_GDC	SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565_CCLE,AU565_COSMIC,AU565_GDC,SKBR3_CCLE,SKBR3_EGA,SKBR3_GDC	AU565,SKBR3
BALL-1_COSMIC	BALL1	BALL-1_COSMIC		BALL-1_COSMIC	BALL1
BB30-HNC_COSMIC	BB30HNC	BB30-HNC_COSMIC		BB30-HNC_COSMIC	BB30HNC
BB49-HNC_COSMIC	BB49HNC	BB49-HNC_COSMIC		BB49-HNC_COSMIC	BB49HNC
BB65-RCC_COSMIC	BB65RCC	BB65-RCC_COSMIC		BB65-RCC_COSMIC	BB65RCC
BC-1_COSMIC	BC1	BC-1_COSMIC		BC-1_COSMIC	BC1
BC-3C_GDC	BC3C	BC-3C_GDC		BC-3C_GDC	BC3C
BC-3_COSMIC	BC3	BC-3_COSMIC		BC-3_COSMIC	BC3
BCP1_CCLE	BCP1	BCP1_CCLE,BCP-1_GDC		BCP1_CCLE,BCP-1_GDC	BCP1
BCP-1_GDC	BCP1	BCP1_CCLE,BCP-1_GDC		BCP1_CCLE,BCP-1_GDC	BCP1
BCPAP_CCLE	BCPAP	BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC		BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC	BCPAP
BCPAP_COSMIC	BCPAP	BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC		BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC	BCPAP
B-CPAP_GDC	BCPAP	BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC		BCPAP_CCLE,BCPAP_COSMIC,B-CPAP_GDC	BCPAP
